Aa,Ad,Ba,Bd,s1,s2,p
0,0,0,0,0,0,0.10249087353736552
0,0,0,0,0,1,0.07772442933332548
0,0,0,0,0,2,0.040057271806925414
0,0,0,0,0,3,0.016412627430012917
0,0,0,0,1,0,0.1334601539571177
0,0,0,0,1,1,0.13711403673755518
0,0,0,0,1,2,0.07284793741966442
0,0,0,0,1,3,0.023957769724576364
0,0,0,0,2,0,0.08332390279065556
0,0,0,0,2,1,0.10540898004295227
0,0,0,0,2,2,0.053507208220534945
0,0,0,0,2,3,0.019154509540920118
0,0,0,0,3,0,0.04133086596488017
0,0,0,0,3,1,0.050247894029708536
0,0,0,0,3,2,0.0338399580976074
0,0,0,0,3,3,0.009121581366197881
0,0,0,1,0,0,0.1254258906544007
0,0,0,1,0,1,0.10262840198087182
0,0,0,1,0,2,0.05381447379430093
0,0,0,1,0,3,0.023738942534953112
0,0,0,1,1,0,0.13016638501067057
0,0,0,1,1,1,0.14412388990257466
0,0,0,1,1,2,0.0783717511136974
0,0,0,1,1,3,0.02970653236512861
0,0,0,1,2,0,0.07066780656991427
0,0,0,1,2,1,0.08849274834239895
0,0,0,1,2,2,0.046427889467635514
0,0,0,1,2,3,0.01870179084789525
0,0,0,1,3,0,0.02608358734120905
0,0,0,1,3,1,0.03281800900792048
0,0,0,1,3,2,0.02233423819383211
0,0,0,1,3,3,0.006497662872596543
0,0,0,2,0,0,0.14684593985351047
0,0,0,2,0,1,0.12964337894586458
0,0,0,2,0,2,0.06916550931589974
0,0,0,2,0,3,0.03284863880741137
0,0,0,2,1,0,0.12145595595434798
0,0,0,2,1,1,0.1449314989883685
0,0,0,2,1,2,0.0806630411894998
0,0,0,2,1,3,0.03523954429836682
0,0,0,2,2,0,0.057338505653857175
0,0,0,2,2,1,0.07107395879220568
0,0,0,2,2,2,0.038540588538609484
0,0,0,2,2,3,0.017469002455766623
0,0,0,2,3,0,0.015748271282110867
0,0,0,2,3,1,0.020505924113642122
0,0,0,2,3,2,0.014102146469645619
0,0,0,2,3,3,0.004428095340893169
0,0,0,3,0,0,0.16529559608204347
0,0,0,3,0,1,0.15745545345846657
0,0,0,3,0,2,0.0854682183356233
0,0,0,3,0,3,0.04370166430951852
0,0,0,3,1,0,0.10895906795796245
0,0,0,3,1,1,0.14012453455413618
0,0,0,3,1,2,0.07982045947709449
0,0,0,3,1,3,0.04019140587504816
0,0,0,3,2,0,0.044729672570375544
0,0,0,3,2,1,0.054883009674111874
0,0,0,3,2,2,0.030759716823282806
0,0,0,3,2,3,0.015688362156831216
0,0,0,3,3,0,0.009141617467898015
0,0,0,3,3,1,0.012318875100911857
0,0,0,3,3,2,0.00856098801029911
0,0,0,3,3,3,0.0029013581463964017
0,0,1,0,0,0,0.08296410355012018
